title,links,status,lastChecked,type,accountNeeded,date
A replicable acoustic measure of lenition and the nature of variability in Gurindji stops,https://github.com/erichround/stop_lenition,alive,2020-10-03,data/scripts/tutorials/software,NA,2017-08-22
Analysis of Intonation: the Case of MAE_ToBI,http://dx.doi.org/10.5334/labphon.30.smo,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
Analyzing speech in both time and space: Generalized additive mixed models can uncover systematic patterns of variation in vocal tract shape in real-time MRI,https://github.com/ChristopherCarignan/MRI-analyses,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-03-18
Analyzing speech in both time and space: Generalized additive mixed models can uncover systematic patterns of variation in vocal tract shape in real-time MRI,https://github.com/ChristopherCarignan/journal-articles/tree/master/LabPhon_rtMRI-GAMM,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-03-18
Automatic motion tracking of lips using digital video and OpenFace 2.0,https://opencv-python-tutroals.readthedocs.io/en/latest/py_tutorials/py_calib3d/py_calibration/py_calibration.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-07-07
Automatic motion tracking of lips using digital video and OpenFace 2.0,https://github.com/TadasBaltrusaitis/OpenFace/wiki/Output-Format,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-07-07
Automatic motion tracking of lips using digital video and OpenFace 2.0,https://doi.org/10.17605/OSF.IO/7VXT9,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-07-07
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,https://nzilbb.github.io/How-to-Train-Your-Classifier/How_to_Train_Your_Classifier.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
From categories to gradience: Auto-coding sociophonetic variation with random forests,http://www.acsu.buffalo.edu/~cdicanio/scripts/Get_Spectral_Tilt_2.praat,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
Iconicity correlated with vowel harmony in Korean ideophones,http://semanticweb.kaist.ac.kr/research/kcp/,alive,2020-10-03,data/scripts/tutorials/software,NA,2018-01-23
Individual and dialect differences in perceiving multiple cues: A tonal register contrast in two Chinese Wu dialects,https://osf.io/u7er5/,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-08-21
Language-independent talker-specificity in bilingual speech intelligibility: Individual traits persist across first-language and second-language speech,https://oscaar.ci.northwestern.edu/#,alive,2020-10-03,data/scripts/tutorials/software,NA,2018-10-09
On the nature of the perception-production link: Individual variability in English sibilant-vowel coarticulation,https://bit.ly/2CGcJRK,alive,2020-10-03,data/scripts/tutorials/software,TRUE,2019-02-06
Perceptual distinctiveness between dental and palatal sibilants in different vowel contexts and its implications for phonological contrasts,http://www.phonetics.ucla.edu/course/chapter7/polish/polish.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2017-07-18
Predictability modulates pronunciation variants through speech planning effects: A case study on coronal stop realizations,http://www.buckeyecorpus.osu.edu,alive,2020-10-03,data/scripts/tutorials/software,NA,2020-06-10
Rapid generalization in phonotactic learning,http://github.com/TalLinzen/rapid_phonotactic_generalization,alive,2020-10-03,data/scripts/tutorials/software,NA,2017-10-11
Researcher degrees of freedom in phonetic research,http://osf.io/6nsfk,alive,2020-10-03,data/scripts/tutorials/software,NA,2019-01-04
Researcher degrees of freedom in phonetic research,https://osf.io/a67ft/,alive,2020-10-03,data/scripts/tutorials/software,NA,2019-01-04
Researcher degrees of freedom in phonetic research,https://oscaar.ci.northwestern.edu/,alive,2020-10-03,data/scripts/tutorials/software,NA,2019-01-04
Statistical and acoustic effects on the perception of stop consonants in Kaqchikel (Mayan),http://prosodylab.org/tools/aligner/,alive,2020-10-03,data/scripts/tutorials/software,NA,2018-05-25
Statistical and acoustic effects on the perception of stop consonants in Kaqchikel (Mayan),http://corpustools.readthedocs.io/en/latest/acoustic_similarity.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2018-05-25
Stress Effects on Stop Bursts in Five Languages,http://emu.sourceforge.net/,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-11-11
Surface and Structure: Transcribing Intonation within and across Languages,http://dx.doi.org/10.5334/labphon.10.smo,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
The Importance of a Distributional Approach to Categoriality in Autosegmental-Metrical Accounts of Intonation,http://dx.doi.org/10.5334/labphon.28.smo,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
The Importance of a Distributional Approach to Categoriality in Autosegmental-Metrical Accounts of Intonation,http://www.coli.uni-saarland.de/groups/WB/Phonetics/contents/phonus-pdf/phonus1/BarryPuetzer_PHONUS1.ps.gz,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
The phonetics and phonology of lenition: A Campidanese Sardinian case study,https://doi.org/10.5334/labphon.184.s1,alive,2020-10-03,data/scripts/tutorials/software,NA,2019-09-26
Thematic role predictability and planning affect word duration,http://jaapstimuli.web.unc.edu/,alive,2020-10-03,data/scripts/tutorials/software,NA,2017-07-17
Thematic role predictability and planning affect word duration,http://jaapstimuli.web.unc.edu/,alive,2020-10-03,data/scripts/tutorials/software,NA,2017-07-17
Towards an International Prosodic Alphabet (IPrA),http://dx.doi.org/10.5334/labphon.11.smo,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
Towards an International Prosodic Alphabet (IPrA),http://www.speech.cs.cmu.edu/tobi/ToBI.1.html,alive,2020-10-03,data/scripts/tutorials/software,NA,2016-06-30
